HGNC.symbol	Protein.Coding	Immunity.Gene	Pseudogene	TM.Domain	SEG	Coiled.coil	Signal.peptide	Avg.transcript	Avg.GC.content	Total.exons	Constitutive.exons	Mouse.homologs.70	Nucleus	Cytoplasm	Mitochondrion	Golgi	ER	Cell.surface
ABLIM3	1	0	0	0	1	0	0	3324.875	0.4442	44	0	1	0	1	0	0	0	0
ABO	1	0	0	1	1	0	0	1362	0.4877	20	7	0	0	0	0	0	0	0
ABR	1	0	0	0	1	1	0	1716.86206896552	0.559	189	0	1	0	1	0	0	0	0
ACAA1	1	0	0	0	1	0	0	1342.83333333333	0.5146	48	0	0	0	0	0	0	0	0
ACACA	1	0	0	0	1	0	0	3639.88888888889	0.41275	200	0	1	0	1	1	0	0	0
ACADL	1	0	0	0	1	0	0	2543	0.3642	17	0	1	0	1	1	0	0	0
ACAT1	1	0	0	0	1	0	0	1273	0.4249	35	0	1	0	0	1	0	0	0
ACAT2	1	0	0	0	0	0	0	3180	0.4457	13	0	0	1	1	0	0	0	0
ACBD3	1	0	0	0	1	1	0	3573	0.4145	10	0	1	0	0	1	1	0	0
ACCS	1	0	0	0	0	0	0	1108.33333333333	0.4902	44	0	1	0	0	0	0	0	0
ACHE	1	0	0	1	1	0	1	1627.61538461538	0.6449	28	0	1	1	1	0	1	0	1
ACLY	1	0	0	0	1	0	0	2963.57142857143	0.4989	47	0	1	0	1	1	0	0	0
ACO1	1	0	0	0	1	0	0	4895	0.4171	26	19	1	0	1	1	1	1	0
ACO2	1	0	0	0	1	0	0	2776	0.5027	30	0	1	1	0	1	0	0	0
ACOT12	1	0	0	0	0	0	0	1349	0.4074	21	0	1	0	1	0	0	0	0
ACOT2	1	0	0	0	1	0	0	1627.25	0.4861	11	0	0	0	0	1	0	0	0
ACOT4	1	0	0	0	1	0	0	2362	0.4817	3	3	1	0	0	0	0	0	0
ACOX1	1	0	0	0	0	0	0	1981	0.4433	40	0	1	1	1	1	0	0	0
ACOX3	1	0	0	0	0	0	0	2017.75	0.5193	30	0	1	0	0	1	0	0	0
ACP6	1	0	0	0	0	0	0	1942.85714285714	0.4364	31	0	1	0	1	1	0	0	0
ACR	1	0	0	0	1	0	1	1070.5	0.5548	10	0	0	1	0	0	0	0	0
ACRBP	1	0	0	0	1	1	1	1213	0.5176	25	0	1	1	0	0	0	0	0
ACSL3	1	0	0	1	0	0	0	1866.33333333333	0.3946	37	0	1	0	1	1	1	1	0
ACSL4	1	0	0	1	0	0	0	2154.55555555556	0.3916	42	0	1	0	1	1	0	1	0
ACSL6	1	0	0	1	0	0	0	2323.1875	0.476775	92	31	0	0	0	1	0	1	0
ACSM1	1	0	0	1	0	0	0	1404.6	0.4048	29	0	1	0	0	1	0	0	0
ACSS1	1	0	0	1	1	0	0	2967.75	0.52	21	0	1	0	0	1	0	0	0
ACTB	1	1	0	0	0	0	0	988.666666666667	0.567	34	0	1	0	1	0	0	0	0
ACTC1	1	1	0	0	0	0	0	4106	0.4622	11	0	1	0	1	0	0	0	0
ACTL6A	1	0	0	0	0	0	0	1385	0.3925	39	0	1	1	0	0	0	0	0
ACTL8	1	0	0	0	0	0	0	1765.5	0.4815	5	0	0	0	1	0	0	0	0
ACTN4	1	0	0	0	1	1	0	2133	0.5301	40	0	1	1	1	0	0	0	0
ACTR2	1	0	0	0	1	0	0	2658.33333333333	0.3948	20	0	1	0	1	0	0	0	0
ACTR3	1	0	0	0	0	0	0	2061.6	0.3661	27	0	1	0	1	0	0	0	0
ACTR3B	1	0	0	0	0	0	0	1824.66666666667	0.4336	21	0	0	0	1	0	0	0	0
ACVR1	1	0	0	1	1	0	1	1509.55555555556	0.4031	29	0	1	0	0	0	0	0	0
ACVR2B	1	0	0	1	1	0	1	11821	0.4764	16	0	1	0	1	0	0	0	0
ACVRL1	1	0	0	1	1	0	1	1532.66666666667	0.5484	25	0	1	0	0	0	0	0	1
ACYP1	1	0	0	0	1	0	1	646	0.4166	13	0	1	0	0	0	0	0	0
ADAM12	1	0	0	1	1	1	1	4132	0.4311	34	0	1	0	0	1	0	0	0
ADAM17	1	0	0	1	1	0	1	2701	0.41	25	0	1	0	1	0	0	0	1
ADAM21	1	0	0	1	1	0	1	2658	0.3974	2	2	0	0	0	0	0	0	0
ADAM22	1	0	0	1	1	0	1	3578.22222222222	0.3729	54	0	1	0	0	0	0	0	0
ADAM23	1	0	0	1	1	0	1	3168	0.3827	31	1	1	0	0	0	0	0	0
ADAM28	1	0	0	1	1	0	1	2462.33333333333	0.3571	46	0	1	0	0	0	0	0	0
ADAM29	1	0	0	1	1	0	1	2340	0.3573	24	0	0	0	0	0	0	0	0
ADAM9	1	0	0	1	1	0	1	3018	0.3694	34	0	1	0	1	0	0	0	1
ADAMTS1	1	0	0	1	1	0	1	1698.75	0.4512	21	0	1	0	1	0	0	0	0
ADAMTS10	1	0	0	0	1	0	1	2998	0.5458	54	0	1	0	0	0	0	0	0
ADAMTS13	1	0	0	1	1	0	0	3192	0.5514	80	0	1	0	0	0	0	1	1
ADAMTS16	1	0	0	0	1	0	1	3830.5	0.4224	28	0	1	0	0	0	0	0	0
ADAMTS18	1	0	0	0	1	0	1	2112.5	0.3976	41	0	1	0	0	0	0	0	0
ADAMTS3	1	0	0	0	1	0	1	5150.5	0.3577	29	0	1	0	0	0	0	0	0
ADAMTS6	1	0	0	0	0	0	1	7133.5	0.3591	43	0	1	0	0	0	0	0	0
ADAMTS9	1	0	0	0	1	0	1	4264	0.4009	59	0	0	0	0	0	0	1	0
ADAMTSL4	1	0	0	0	1	0	1	3685.4	0.6013	34	0	1	0	0	0	0	1	0
ADAR	1	0	0	0	1	0	0	5575	0.4535	34	0	1	1	1	0	0	0	0
ADARB2	1	0	0	0	1	0	0	3644.66666666667	0.4783	22	0	1	1	0	0	0	0	0
ADCK1	1	0	0	0	1	0	0	1408	0.4763	25	0	1	0	0	1	0	0	0
ADCK3	1	0	0	0	1	0	0	3712.66666666667	0.4911	36	0	1	0	0	1	0	0	0
ADCK5	1	0	0	0	1	0	0	1361.25	0.5752	35	0	1	0	0	1	0	0	0
ADCY2	1	0	0	1	1	1	0	2929.5	0.4092	45	0	1	0	1	0	0	0	0
ADCY3	1	0	0	1	1	0	0	1988.11111111111	0.5099	50	0	1	1	1	0	0	0	0
ADCY7	1	0	0	1	1	0	0	2628.125	0.5443	57	0	1	0	0	0	0	0	0
ADCYAP1R1	1	0	0	1	1	0	1	2743.71428571429	0.5189	28	0	1	0	1	0	0	1	1
ADD1	1	0	0	0	1	1	0	2376.5	0.4484	73	0	1	1	1	0	0	0	0
ADH1A	1	0	0	0	0	0	0	1499	0.3555	15	0	0	0	1	0	0	0	0
ADH1B	1	0	0	0	0	0	0	3266	0.3581	19	0	0	0	1	0	0	0	0
ADH6	1	0	0	0	1	0	0	1699.16666666667	0.3738	21	0	0	0	1	0	0	0	0
ADHFE1	1	0	0	0	1	0	0	1358.58333333333	0.4301	44	0	1	0	0	1	0	0	0
ADI1	1	0	0	0	1	0	1	2204.25	0.449075	10	2	1	1	1	0	1	0	0
ADIPOR1	1	0	0	1	1	0	0	1307.5	0.4428	17	0	1	0	0	0	0	0	0
ADIPOR2	1	0	0	1	1	0	0	4018	0.394	21	0	1	0	0	0	0	0	0
ADK	1	0	0	0	1	0	0	1835	0.3742	21	0	1	1	1	0	0	0	0
ADNP	1	0	0	0	1	0	0	4986.16666666667	0.4152	13	1	1	1	1	0	0	0	0
ADORA1	1	0	0	1	1	0	0	2460.6	0.4814	19	0	1	0	0	0	0	1	0
ADPGK	1	0	0	0	1	0	1	1402	0.4353	32	0	1	0	0	0	0	1	0
ADPRHL1	1	0	0	0	0	0	0	1352.33333333333	0.5382	10	2	1	0	0	0	0	0	0
ADRA1B	1	0	0	1	1	0	0	1738	0.4385	2	2	1	1	1	0	0	0	0
ADRA2A	1	0	0	1	1	0	0	3745	0.5923	1	1	1	0	1	0	0	0	0
ADRB2	1	0	0	1	1	0	0	3443	0.5118	1	1	1	1	1	0	0	0	0
ADRB3	1	0	0	1	1	0	0	2796	0.5914	6	0	1	1	0	0	0	0	0
ADRBK1	1	0	0	0	0	1	0	2462	0.6102	51	0	1	0	1	0	0	0	0
ADRM1	1	0	0	0	1	0	0	1276	0.6409	14	0	0	1	1	0	0	0	0
ADSL	1	0	0	0	1	1	0	1240.5	0.4527	44	0	1	0	1	1	0	0	0
ADSS	1	0	0	0	0	0	0	2780	0.383	17	0	1	0	1	0	0	0	0
ADSSL1	1	0	0	1	1	0	0	1285	0.6075	32	0	1	0	1	0	0	0	0
AEBP1	1	0	0	0	1	0	1	1525.875	0.627	39	0	1	1	1	0	0	0	0
AES	1	0	0	0	1	1	0	1318.2	0.6037	29	0	0	1	0	0	0	0	0
AFF1	1	0	0	0	1	0	0	3370.75	0.4119	45	0	0	1	0	0	0	0	0
AFF4	1	0	0	0	1	1	0	3488.5	0.4042	36	0	1	1	0	1	0	0	0
AFG3L2	1	1	0	1	1	0	0	1937	0.447	23	0	1	0	0	1	0	0	0
AFP	1	0	0	0	0	0	1	2199	0.3451	27	0	0	0	1	0	0	0	0
AGA	1	0	0	0	1	0	1	995	0.3989	19	0	1	0	0	0	0	1	0
AGAP2	1	0	0	0	1	0	0	3509.75	0.5766	25	3	1	1	0	1	0	0	0
AGAP3	1	0	0	0	1	0	0	1932.6	0.5773	68	0	1	0	1	0	0	0	0
AGAP6	1	0	0	0	1	0	0	2538	0.411	19	3	0	0	0	0	0	0	0
AGAP9	1	0	0	0	1	0	0	2398.5	0.4123	13	2	0	0	0	0	0	0	0
AGBL2	1	0	0	0	1	1	0	1710.55555555556	0.449	41	0	1	0	1	0	0	0	0
AGBL3	1	0	0	0	1	0	0	2374.5	0.3682	30	0	1	0	1	0	0	0	0
AGFG1	1	0	0	0	1	0	0	2714.42857142857	0.3709	29	0	1	0	1	0	0	0	0
AGPAT2	1	0	0	1	1	0	1	1420	0.6268	14	0	1	0	0	0	0	1	0
AGPAT3	1	0	0	1	1	0	0	2580.81818181818	0.5171	47	0	1	0	0	0	0	1	0
AGPAT5	1	0	0	1	1	0	0	1882.5	0.3861	21	0	1	0	0	1	0	1	0
AGPAT6	1	0	0	1	1	0	0	2260	0.457	38	0	1	0	0	0	0	1	0
AGPS	1	0	0	0	1	0	0	4289.5	0.3602	25	0	1	0	0	1	0	0	0
AGTR1	1	0	0	1	1	0	0	2027.375	0.3738	16	0	0	0	1	0	0	0	0
AGTRAP	1	0	0	1	1	0	1	964.375	0.5437	35	0	1	0	1	0	0	1	0
AHCTF1	1	0	0	0	1	0	0	4587.5	0.3875	48	0	1	1	1	0	0	0	0
AHCY	1	0	0	0	1	0	0	2254.5	0.5038	21	0	0	1	1	0	0	0	0
AHCYL1	1	0	0	0	1	1	0	3610.33333333333	0.4097	26	0	1	0	1	0	0	1	0
AHCYL2	1	0	0	0	1	1	1	2416.57142857143	0.3997	40	0	1	0	1	0	0	1	0
AIF1L	1	0	0	0	0	0	0	2354.875	0.5382	25	0	1	0	1	0	0	0	0
AIFM1	1	0	0	1	1	0	0	1847	0.4298	28	0	1	1	1	1	0	0	0
AIFM3	1	0	0	0	1	0	0	1550.625	0.5924	52	0	1	0	0	1	0	1	0
AIPL1	1	0	0	0	1	1	0	1654.58333333333	0.4933	29	0	1	1	1	0	0	0	0
AIRE	1	1	0	0	1	0	0	2257	0.6387	27	0	1	1	1	0	0	0	0
AJAP1	1	0	0	1	1	0	1	7024.5	0.5237	10	0	1	0	0	0	0	0	0
AK1	1	0	0	0	0	0	0	898.333333333333	0.6017	19	0	1	0	1	0	0	0	0
AK2	1	1	0	0	0	0	0	1419.55555555556	0.4632	36	0	1	0	0	1	0	0	0
AK3	1	0	0	0	0	0	0	2251.5	0.4147	11	2	1	0	0	1	0	0	0
AK8	1	0	0	0	0	0	0	2072	0.4794	20	0	1	0	1	0	0	0	0
AKAP10	1	0	0	0	1	0	1	1147.22222222222	0.4126	37	0	1	0	1	1	0	0	0
AKAP14	1	0	0	0	0	0	0	697.5	0.4685	11	0	0	0	1	0	0	0	0
AKAP3	1	0	0	0	1	0	0	1954	0.3899	15	0	1	1	1	0	0	0	0
AKAP8	1	0	0	0	1	0	0	2533.66666666667	0.5324	23	0	1	1	0	1	1	0	0
AKAP9	1	1	0	0	1	1	0	6330.125	0.3672	85	0	0	0	1	0	1	0	0
AKIP1	1	0	0	0	1	1	0	962.545454545455	0.4642	24	1	1	0	0	0	0	0	0
AKNA	1	0	0	0	1	1	0	4628	0.5065	38	0	0	1	0	0	0	0	0
AKR1A1	1	0	0	0	1	0	0	1119.66666666667	0.491	33	0	1	0	1	0	0	0	0
AKR1B1	1	0	0	0	1	0	0	1260.66666666667	0.5004	36	0	1	0	1	0	0	0	0
AKR1B10	1	0	0	0	0	0	0	1590	0.4537	17	0	0	0	1	0	0	0	0
AKR1C3	1	0	0	0	0	0	0	1260.75	0.404	30	0	0	1	1	0	0	0	0
AKR1D1	1	0	0	0	0	0	0	1526.75	0.3929	21	0	1	0	1	0	0	0	0
AKR7A2	1	0	0	0	1	0	0	936.5	0.5287	15	0	1	0	1	1	1	0	0
AKT1	1	1	0	0	0	0	0	1933.5	0.6408	51	0	1	1	1	1	0	0	0
AKT2	1	0	0	0	0	0	0	1149.11538461538	0.5361	102	0	1	1	1	0	0	0	0
AKT3	1	0	0	0	0	1	0	3492.83333333333	0.373133333333333	41	0	1	0	1	0	1	0	0
ALAS1	1	0	0	0	1	0	0	1705.16666666667	0.4547	23	0	1	0	1	1	0	0	0
ALDH1A1	1	0	0	0	0	0	0	1135	0.3605	27	0	0	0	1	0	0	0	0
ALDH1A3	1	0	0	0	1	0	0	1996.4	0.4881	23	0	1	0	1	0	0	0	0
ALDH1B1	1	0	0	0	1	0	0	3066	0.5148	2	2	1	0	0	1	0	0	0
ALDH2	1	0	0	0	1	0	0	3370.25	0.488	22	0	0	0	0	1	0	0	0
ALDH3B1	1	0	0	0	1	0	0	1488.77777777778	0.584	32	0	1	0	1	0	0	0	0
ALDH3B2	1	0	0	0	1	0	0	1381.6	0.5258	24	0	0	0	0	0	0	0	0
ALDH7A1	1	0	0	0	0	0	0	1682.5	0.4301	48	0	1	1	1	1	0	0	0
ALDH8A1	1	0	0	0	1	1	0	1509.16666666667	0.4253	18	0	1	0	1	0	0	0	0
ALDOA	1	0	0	0	1	0	0	1425.66666666667	0.5443	70	0	0	1	1	0	0	0	0
ALDOC	1	0	0	0	1	0	0	1103.625	0.5605	25	0	1	0	1	1	0	0	0
ALG10B	1	0	0	1	1	0	0	4129.66666666667	0.3407	9	0	0	0	0	0	0	1	0
ALG12	1	0	0	1	1	0	0	2259	0.5569	14	0	1	0	0	0	0	1	0
ALG13	1	0	0	0	1	0	0	1914.74074074074	0.3751	90	0	0	0	0	0	0	1	0
ALG1L	1	0	0	0	0	0	0	753	0.5193	7	4	0	0	0	0	0	1	0
ALG1L2	1	0	0	0	0	0	0	969	0.5178	13	0	0	0	0	0	0	0	0
ALG5	1	0	0	1	1	0	0	1136.5	0.3926	18	0	1	0	0	0	0	1	0
ALG8	1	0	0	1	1	0	1	946.235294117647	0.4215	57	0	1	0	0	0	0	1	0
ALKBH7	1	0	0	0	1	0	0	830.333333333333	0.6435	8	0	1	0	0	1	0	0	0
ALPPL2	1	0	0	0	1	0	1	2044.5	0.6299	15	9	0	0	0	0	0	0	0
ALS2CL	1	0	0	0	1	0	0	3673.2	0.5794	52	0	1	0	1	0	0	0	0
ALX3	1	0	0	0	1	0	0	1859	0.5893	4	4	1	1	0	0	0	0	0
ALX4	1	0	0	0	1	0	0	5750	0.5284	4	4	1	1	0	0	0	0	0
ALYREF	1	0	0	0	1	1	0	1088	0.5757	13	0	0	1	0	0	0	0	0
AMD1	1	0	0	0	1	0	0	2603.85714285714	0.4329	23	0	0	0	1	0	0	0	0
AMDHD1	1	0	0	0	1	0	0	1555.66666666667	0.438	15	0	1	0	1	0	0	0	0
AMDHD2	1	0	0	0	1	0	0	1466.75	0.5917	47	0	0	1	0	0	0	0	0
AMELX	1	0	0	1	1	0	1	788.333333333333	0.3837	8	4	0	0	0	0	0	0	1
AMPD3	1	0	0	0	1	1	0	2244.81818181818	0.4429	54	0	1	0	1	0	0	0	0
AMY1A	1	0	0	0	0	0	1	1185.33333333333	0.3456	18	0	0	0	0	0	0	0	0
AMY1B	1	0	0	0	0	0	1	1353.75	0.3459	17	0	0	0	0	0	0	0	0
AMY1C	1	0	0	0	0	0	1	1632	0.3404	10	10	0	0	0	0	0	0	0
AMY2B	1	0	0	0	0	0	1	1681.2	0.3492	24	0	0	0	0	0	0	0	0
ANAPC16	1	0	0	0	1	1	0	3287.33333333333	0.4346	12	0	1	0	1	0	0	0	0
ANAPC2	1	0	0	0	1	0	0	2632	0.6165	26	0	1	1	1	0	0	0	0
ANAPC5	1	0	0	0	1	0	0	1622.5	0.4455	62	0	1	1	1	0	0	0	0
ANGPT2	1	0	0	0	0	1	1	3120.25	0.4071	15	4	1	1	0	0	0	0	0
ANK1	1	0	0	1	1	1	1	3194.4	0.4932	69	0	1	1	1	0	0	0	0
ANK2	1	1	0	0	1	1	0	4437.5	0.3708	100	0	0	0	1	0	0	0	0
ANK3	1	0	0	0	1	1	0	2507.22222222222	0.3775	112	0	0	0	0	0	1	1	1
ANKFY1	1	0	0	0	1	1	0	3916	0.4491	47	0	1	0	0	0	0	0	0
ANKRD17	1	0	0	0	1	1	0	7559.2	0.3617	52	0	1	1	1	0	0	0	0
ANKRD29	1	0	0	1	1	0	0	1428.4	0.4427	26	0	1	0	0	0	0	0	0
ANKRD49	1	0	0	0	1	0	0	1186.44444444444	0.3768	27	0	1	1	0	0	0	0	0
ANP32B	1	0	0	0	1	0	0	1463	0.4352	12	0	1	1	1	0	0	0	0
ANP32E	1	0	0	0	1	1	0	1524.6	0.4262	26	0	1	1	1	0	0	0	0
ANPEP	1	0	0	1	1	1	0	1291.4	0.5335	37	0	1	0	1	0	0	1	0
ANTXR1	1	0	0	1	1	1	1	2521.25	0.4188	30	0	1	0	0	0	0	0	1
ANTXR2	1	0	0	1	1	0	1	2916.8	0.3581	38	0	1	0	0	0	0	1	1
ANXA1	1	0	0	0	0	0	0	1260.75	0.3474	25	0	1	1	1	1	0	0	1
ANXA3	1	0	0	0	0	0	0	973.571428571429	0.3999	31	0	1	0	1	0	0	0	0
ANXA4	1	0	0	0	0	0	0	1788.5	0.4193	37	0	1	1	1	0	0	0	1
ANXA7	1	0	0	0	1	0	0	1758	0.4079	22	0	1	1	1	0	0	1	0
ANXA8	1	0	0	0	1	0	0	1835	0.5297	25	0	0	0	1	0	0	0	0
ANXA8L1	1	0	0	0	1	0	0	1683.2	0.4601	29	0	0	0	0	0	0	0	0
AOC2	1	0	0	1	1	0	1	2614.5	0.5249	7	1	1	0	1	0	0	0	0
AOC3	1	0	0	1	1	0	0	2071.42857142857	0.5435	16	0	1	0	1	0	1	1	1
AOX1	1	0	0	0	1	0	0	1727	0.4156	50	0	1	0	1	0	0	0	0
AP1G1	1	0	0	0	1	0	0	1911.33333333333	0.4073	73	0	1	0	1	0	1	0	0
AP1S2	1	0	0	0	0	0	0	1612	0.3677	17	0	0	0	1	0	0	0	0
AP1S3	1	0	0	0	1	0	0	1191.5	0.4241	22	0	1	0	1	0	0	0	0
AP2M1	1	0	0	0	0	0	0	1148.54545454545	0.5413	53	0	1	0	1	1	0	0	0
AP2S1	1	0	0	0	1	0	0	730.428571428571	0.5287	21	0	1	0	1	0	0	0	0
AP3B1	1	1	0	0	1	1	0	3664.66666666667	0.3653	41	0	1	0	0	0	1	0	0
AP3D1	1	0	0	0	1	1	0	2431.2	0.5641	60	0	1	0	0	0	1	0	0
AP3M1	1	0	0	0	0	0	0	3722	0.4125	16	0	1	0	1	0	1	0	0
AP3M2	1	0	0	0	1	0	0	1646.58333333333	0.414	42	0	1	0	1	0	1	0	0
AP3S1	1	0	0	0	0	0	0	1224	0.3662	22	0	1	0	1	0	1	0	0
AP4S1	1	0	0	0	0	0	0	1837.66666666667	0.4338	28	0	0	0	0	0	0	0	0
AP5B1	1	0	0	0	1	0	0	4811	0.6281	2	2	1	0	0	0	0	0	0
APAF1	1	0	0	0	1	0	0	4408.66666666667	0.3948	50	0	1	1	1	0	0	0	0
APBB1	1	0	0	0	1	1	0	1947.70588235294	0.5187	52	0	1	1	1	0	0	0	0
APBB3	1	0	0	0	1	0	0	1784.125	0.4662	65	0	1	1	1	0	0	0	0
APC	1	1	0	0	1	1	0	4548.11111111111	0.3763	36	0	1	1	1	0	0	0	0
APEX1	1	0	0	0	1	0	0	840	0.4706	46	0	1	1	1	1	0	1	0
API5	1	0	0	0	1	0	0	1864.42857142857	0.3775	35	0	1	1	1	0	0	0	0
APLP1	1	0	0	1	1	1	1	1607.625	0.5702	37	0	1	0	1	0	0	0	0
APOA5	1	0	0	0	1	1	1	1450.66666666667	0.6022	9	1	1	0	0	0	0	0	0
APOBEC3F	1	0	0	0	0	0	0	1655	0.5389	13	0	0	0	1	0	0	0	0
APOBEC3G	1	0	0	0	0	0	0	1494.5	0.5135	21	0	0	0	1	0	0	0	0
APOBEC3H	1	0	0	0	1	0	0	807.333333333333	0.5345	15	0	0	1	1	0	0	0	0
APOC3	1	0	0	0	1	0	1	513.5	0.5646	12	0	0	0	0	0	0	0	0
APOH	1	0	0	0	1	0	1	759.5	0.4288	15	0	1	0	0	0	0	0	1
APOM	1	0	0	0	0	0	1	866.166666666667	0.501457142857143	62	14	1	0	0	0	0	0	0
APOO	1	0	0	1	1	0	0	800.833333333333	0.4327	25	0	0	0	0	1	0	1	0
APOPT1	1	0	0	0	1	0	0	917	0.4897	37	0	0	0	0	1	0	0	0
APPBP2	1	0	0	0	0	0	0	2288.75	0.3969	27	0	1	1	1	0	0	0	0
AQP12A	1	0	0	0	1	0	1	1097	0.6255	14	0	0	0	0	0	0	0	0
AQP3	1	0	0	1	0	0	0	1849	0.5565	16	0	1	0	1	0	0	0	0
AQR	1	0	0	0	1	1	0	5319.66666666667	0.3754	47	0	1	1	0	0	0	0	0
ARAP1	1	0	0	0	1	0	0	3154.27272727273	0.5491	73	0	1	0	1	0	1	0	0
ARAP3	1	0	0	0	1	0	0	4136	0.5143	47	0	1	0	1	0	0	0	0
ARCN1	1	0	0	0	1	1	0	2699.8	0.4233	19	0	1	0	1	0	1	1	0
ARF1	1	0	0	0	0	1	0	1955.33333333333	0.5233	32	0	1	0	1	0	1	0	0
ARF4	1	0	0	0	0	0	0	1243.5	0.4171	22	0	1	0	1	0	1	0	0
ARF5	1	0	0	0	0	1	0	824.5	0.565	17	0	1	0	1	0	1	0	0
ARFGAP3	1	0	0	0	1	0	0	1273.4	0.45	25	0	1	0	1	0	1	0	0
ARG1	1	0	0	0	0	0	0	1500	0.3797	19	0	1	1	1	1	0	0	0
ARG2	1	0	0	0	0	0	0	2045	0.422	14	0	1	0	0	1	0	0	0
ARGFX	1	0	0	0	1	0	0	992	0.4187	4	4	0	1	0	0	0	0	0
ARHGAP1	1	0	0	1	1	0	0	1755	0.5308	26	0	1	0	1	0	0	0	0
ARHGAP15	1	0	0	0	0	0	0	1696	0.3648	38	0	1	0	1	0	0	0	0
ARHGAP17	1	0	0	0	1	1	0	1467.22222222222	0.4436	57	0	1	0	1	0	0	0	0
ARHGAP20	1	0	0	0	1	0	0	5489.33333333333	0.3675	23	2	1	0	1	0	0	0	0
ARHGAP24	1	0	0	0	1	1	0	2331.57142857143	0.3675	32	0	1	0	1	0	0	0	0
ARHGAP26	1	0	0	0	1	1	0	2250.81818181818	0.4217	57	0	1	0	1	0	0	0	0
ARHGAP29	1	0	0	0	1	1	0	3856.33333333333	0.3807	34	0	1	0	1	0	0	0	0
ARHGAP35	1	0	0	0	1	1	0	6432.66666666667	0.4796	19	0	1	1	1	0	0	0	0
ARHGAP39	1	0	0	0	1	0	0	4685	0.5399	15	0	1	1	1	0	0	0	0
ARHGDIB	1	0	0	0	1	0	0	804.142857142857	0.4112	23	0	1	0	1	0	0	0	0
ARHGDIG	1	0	0	0	1	0	1	650.4	0.635	18	0	1	0	1	0	0	0	0
ARHGEF1	1	0	0	0	1	1	0	1910.16666666667	0.5825	76	0	1	0	1	0	0	0	0
ARHGEF12	1	0	0	0	1	1	0	8434.66666666667	0.3739	64	0	1	0	1	0	0	0	0
ARHGEF15	1	0	0	0	1	0	0	2043.2	0.5526	30	0	1	0	1	0	0	0	0
ARHGEF19	1	0	0	0	1	0	0	1510.66666666667	0.5733	26	0	1	0	0	0	0	0	0
ARHGEF2	1	0	0	0	1	1	0	1904.83333333333	0.5095	66	0	1	0	1	0	1	0	0
